,Year,Month,Value,city
32,2023,May,287.133,./cpi_data/Dallas
33,2023,Nov,,./cpi_data/Dallas
34,2023,Oct,,./cpi_data/Dallas
35,2023,Sep,,./cpi_data/Dallas
0,2021,Apr,236.604,./cpi_data/Houston
1,2021,Aug,241.088,./cpi_data/Houston
2,2021,Dec,245.509,./cpi_data/Houston
3,2021,Feb,232.442,./cpi_data/Houston
4,2021,Jan,,./cpi_data/Houston
5,2021,Jul,,./cpi_data/Houston
6,2021,Jun,239.374,./cpi_data/Houston
7,2021,Mar,,./cpi_data/Houston
8,2021,May,,./cpi_data/Houston
9,2021,Nov,,./cpi_data/Houston
10,2021,Oct,243.813,./cpi_data/Houston
11,2021,Sep,,./cpi_data/Houston
12,2022,Apr,256.668,./cpi_data/Houston
13,2022,Aug,264.074,./cpi_data/Houston
14,2022,Dec,258.588,./cpi_data/Houston
15,2022,Feb,250.563,./cpi_data/Houston
16,2022,Jan,,./cpi_data/Houston
17,2022,Jul,,./cpi_data/Houston
18,2022,Jun,263.874,./cpi_data/Houston
19,2022,Mar,,./cpi_data/Houston
20,2022,May,,./cpi_data/Houston
21,2022,Nov,,./cpi_data/Houston
22,2022,Oct,262.423,./cpi_data/Houston
23,2022,Sep,,./cpi_data/Houston
24,2023,Apr,267.002,./cpi_data/Houston
25,2023,Aug,271.154,./cpi_data/Houston
26,2023,Dec,,./cpi_data/Houston
27,2023,Feb,263.537,./cpi_data/Houston
28,2023,Jan,,./cpi_data/Houston
29,2023,Jul,,./cpi_data/Houston
30,2023,Jun,268.379,./cpi_data/Houston
31,2023,Mar,,./cpi_data/Houston
32,2023,May,,./cpi_data/Houston
33,2023,Nov,,./cpi_data/Houston
34,2023,Oct,,./cpi_data/Houston
35,2023,Sep,,./cpi_data/Houston
